"","City","Apr2011","Apr2012","Apr2013","Apr2014","Apr2015","Apr2016","Aug2011","Aug2012","Aug2013","Aug2014","Aug2015","Dec2010","Dec2011","Dec2012","Dec2013","Dec2014","Dec2015","Feb2011","Feb2012","Feb2013","Feb2014","Feb2015","Feb2016","Jan2011","Jan2012","Jan2013","Jan2014","Jan2015","Jan2016","Jul2011","Jul2012","Jul2013","Jul2014","Jul2015","Jun2011","Jun2012","Jun2013","Jun2014","Jun2015","Mar2011","Mar2012","Mar2013","Mar2014","Mar2015","Mar2016","May2011","May2012","May2013","May2014","May2015","Nov2011","Nov2012","Nov2013","Nov2014","Nov2015","Oct2011","Oct2012","Oct2013","Oct2014","Oct2015","Sep2011","Sep2012","Sep2013","Sep2014","Sep2015","long","lat"
"1","Anqing",99.8001,98.608174245561,100.893861502391,104.684704717326,98.0698249393485,98.7503054123136,99.7001002998,98.7062896747599,102.516142358411,102.191999273249,98.1662290483112,100,99.2022973999028,99.2005123632803,104.581168523838,98.7597614227257,97.7741527369255,100,98.7068811266877,99.596124006585,104.894493704735,98.1679929322807,97.3825672552141,100,98.9046905077031,99.0021113385537,104.999493197933,98.5622418998802,97.8719268896624,99.7001002998,98.7062896747599,101.904714073967,103.328614027552,98.4616138899811,99.6004998,98.4110565052442,102.006720794762,104.161909301967,97.9717551144091,99.9,98.608174245561,100.592085246651,104.894493704735,98.1679929322807,98.2590103605111,99.6004998,98.5095660713155,101.499224671405,104.475335307891,98.0698249393485,99.5007997993007,99.101410952328,104.372423676485,99.2560416308801,97.8720247616872,99.6004001995002,98.8049959644347,103.85315788705,100.157458759718,97.9699947564436,99.6004001995002,98.7062896747599,103.131239212562,100.863503282696,98.0680628192629,117.115101,30.53192
"2","Baotou",100.599897,99.7966102290729,104.783153029132,109.261901726567,100.722840734489,99.1201273372069,100.800794189107,100.296392052287,106.571275747345,105.589204118304,100.019391206125,100,100.197097627904,100.89937496457,108.934988154139,102.973975195076,99.5200940051469,100.5,100.096700136081,103.331857096216,108.934879219151,100.924690114719,98.6264035609807,100,99.9967034326483,101.504771214357,108.826053165985,101.84126146793,99.0224935351212,100.599594999109,100.296392052287,106.677953701046,107.197161541426,100.019391206125,100.801197393897,100.096199652981,106.041703480165,108.38944544128,100.320352262914,100.299,99.9966034359448,104.261843810081,109.152748977589,100.924690114719,98.8236563681026,100.700496897,99.896406839302,105.935767712452,108.934116021387,100.52139505302,100.498593408128,100.798576388182,108.285276495168,103.49143235686,99.5200940051469,100.699993394918,100.497085132783,107.746543776286,104.220979211339,99.6197137188657,100.800794189107,100.396688444339,106.997560850334,104.850079689476,99.8193524237132,109.840349,40.657378
"3","Beihai",102.5230921344,100.591577543545,103.742197718039,112.346278142427,104.613353151815,105.869613762611,102.011194027804,100.792458923899,107.633996022998,109.668465281705,104.821220930661,100,101.400451785433,100.790948047359,110.788141089319,106.411952642521,104.923417748973,101.2032,100.894057929217,101.798857527833,111.898349051175,105.243975050317,105.132425197129,100.4,101.197650881862,100.790948047359,111.563658076945,105.560657021381,104.713570913475,102.113307335139,100.792458923899,106.673930647174,111.225624017957,104.299722319066,102.113307335139,100.490985966001,105.722428788081,111.784546751715,104.299722319066,101.9116224,100.692269813358,102.715047245583,112.234044098329,105.033487100216,105.552954897917,102.215522857997,100.490985966001,104.572135299783,112.346278142427,104.404126445512,101.60365910364,101.094230739578,110.23695630778,106.518471113635,104.609588982027,101.705364468108,100.691464880057,109.362059829147,107.594415266298,104.714303285312,101.909182833776,100.590874006051,108.817969979251,108.462112163606,105.240505814384,109.120161,21.481291
"4","Beijing",101.3044032,100.294899960214,110.645171567737,120.412804491818,116.712232212126,136.904418061913,101.4057076032,100.998469586089,116.05182350934,118.490442025551,122.174139110273,100,101.00038898991,102.724752809687,119.097719843244,115.901736348746,125.505477210799,101.2032,100.798489212319,106.873189227154,119.813258944062,115.554262943173,129.422503154548,100.8,100.89938860092,104.368348854642,119.574110722617,115.785834612398,126.760531982907,101.4057076032,100.897572014075,115.016673448306,119.566540893594,120.844845806402,101.4057076032,100.595784660095,113.540645062493,120.774283730903,119.530015634424,101.2032,100.39529525547,109.117526200924,120.292511979839,115.900925732002,133.305178249185,101.4057076032,100.294899960214,112.083558798118,120.653630100802,117.99606676646,101.10149048039,101.909476993738,118.505193873875,116.134004357461,125.005455389242,101.4057076032,101.301666991787,117.9156157949,116.366737833128,124.013348600439,101.4057076032,101.099468055675,117.212341744434,117.661008931373,123.273706362265,116.407395,39.904211
"5","Bengbu",101.911021212,101.098175444182,102.82789559949,106.80054412484,97.6629013282378,96.8724387715428,101.911021212,101.098175444182,104.377935637104,104.259568549683,96.3023453969239,100,101.503682860216,101.300068500544,105.950711139031,99.9425583183101,95.7244402155899,101.101,101.300675494495,102.112089849644,106.587263011554,98.7467456080315,95.2463923611532,100.1,101.503682860216,101.705268774546,106.374513983587,99.4428455267186,95.4372668949431,101.911021212,101.098175444182,103.858642424979,105.206426387167,96.5921217622106,101.911021212,101.098175444182,103.858642424979,105.841475238599,97.1751727990046,101.707606,101.199374819001,102.622650298892,106.693850274566,97.9567716431673,96.1036098924036,101.911021212,101.098175444182,103.444862973087,106.373341948341,97.4675755255813,101.809110190788,100.997077268738,105.950711139031,100.343934054528,96.0124776485355,101.911021212,100.997077268738,105.739232673683,101.051293106272,96.2048874233822,101.911021212,100.997077268738,105.108581186564,102.278636747239,95.9171360153362,117.389719,32.916287
"6","Changchun",101.201880744,101.29933628424,104.784708002563,112.132253854663,105.367124302243,105.468173639884,102.523894585343,101.501427852331,108.500336305614,109.793810156341,105.26101971407,100,101.909673932882,102.008016911177,110.686453224157,106.534643960827,104.63082072633,99.9984,101.604148730431,102.923844887006,111.462586634165,106.002609948886,104.629879048944,100.4,101.807764258949,101.804000877355,111.129199037054,106.321574672905,104.316928264151,102.217242856772,101.197834349283,107.53254341488,110.679244109214,105.050917878313,101.911508331777,101.096737611671,106.785048078332,111.459460331535,104.945971906407,100.6983888,101.29933628424,103.747235646102,111.908436980702,105.896607338938,105.257658323238,101.606688266976,101.29933628424,105.832555082589,112.132253854663,105.051022929336,102.216322901587,101.50051433948,110.245471338802,107.069993930479,104.735556282613,102.523894585343,101.805932135888,109.587943676742,107.716291680563,104.945447176967,102.523894585343,101.501427852331,109.151338323448,108.366490624308,105.155758694356,125.323544,43.817072
"7","Changde",102.8222620425,102.409129607569,105.935002127611,111.682833594085,104.315266077532,103.170105554918,103.647207931124,102.306413353187,108.065686568987,108.477391305616,103.379449759133,100,102.82041125258,103.330398244439,109.805030620541,106.53702499318,102.964588442008,102.2085,102.409129607569,104.157041430394,111.126534164059,104.944935691682,103.170208725127,101.7,102.409129607569,103.330398244439,110.573665834885,105.684728793235,102.861623853566,103.543664266857,102.204209144043,106.889897694349,109.573122530926,103.482932691825,103.336990286285,102.40902719844,106.464041528236,110.67992174841,103.690313318462,102.3107085,102.409129607569,105.198611844698,111.459913766551,104.944935691682,103.067038516402,103.130728828627,102.306720477962,105.829067125484,111.236102259708,104.0023202793,103.129800654543,102.40871976654,109.367560379025,106.750526045271,103.586105072443,103.336473601747,102.306413353187,108.823443163209,107.071741269078,103.379346379683,103.439913515262,102.306413353187,108.497949315263,107.718049566477,103.482829208892,111.698497,29.031673
"8","Changsha",103.745929905,103.947704847504,110.558180084603,119.728389978379,109.479270711794,113.133233895345,105.100759110669,104.155496101598,114.933151770042,114.657415672551,109.260202910058,100,104.574314137817,105.200074906227,118.067050316876,110.249695584538,110.026116932457,102.7162,103.947704847504,107.526784962928,119.132015110734,109.479270711794,110.797620064388,101.8,104.156016881266,106.146875580383,118.657385568461,109.918946497785,110.466221400187,104.786399910936,103.947600899799,113.795199772318,116.521763894869,109.36957248254,104.681718192743,103.843757142656,112.668514626058,118.176231130699,109.26031217037,103.229781,103.947704847504,109.247213522335,119.489411156067,109.479270711794,111.35160816471,104.264659554525,103.843757142656,111.774320065534,119.249476418465,109.26031217037,105.099813203837,105.094979926301,117.479652056593,111.026883770935,109.478723315878,105.416061388001,104.468170900895,116.778978187468,112.03520057612,109.478723315878,105.416061388001,104.2596515977,115.622750680662,113.510841515826,109.478723315878,112.938814,28.228209
"9","Chengdu",101.805093,100.992587154143,106.563369019696,113.469305373691,105.024278422818,108.216594328938,101.702575373765,100.991678220859,109.794844379289,109.878614635527,106.183857890516,100,101.397671052794,101.903028740991,111.783922067676,106.508271583159,107.142170076003,101.907,101.296273381742,103.745435500628,113.016898728083,105.763991781336,107.356454416155,101.4,101.296273381742,102.922059028401,112.454625600082,106.18874676841,107.356454416155,101.600974399366,100.991678220859,108.923456725485,111.213172708024,105.866259113176,101.906694482814,100.689609392681,108.597663734282,112.450124072825,105.339561306643,101.907,101.093680834978,104.679144420133,113.355949424267,105.129407830648,107.571167324988,102.008703186,100.689609392681,107.629002709893,113.12889745757,105.12930270124,101.499170223017,101.497040578676,111.560800466743,106.721715013186,106.928313449105,101.702575373765,101.09266989908,110.895427899347,107.365910476042,106.396331790155,101.702575373765,101.09266989908,110.453613445564,108.669949874536,106.290041748406,104.066801,30.572816
"10","Chongqing",101.2041017928,99.6942230951766,104.992829164297,111.57516276761,103.162155096645,106.295333607994,100.798882188487,99.9935051529083,107.856001977803,108.26049497292,103.575009628383,100,99.7944162899541,100.996140225064,110.466624663133,104.724665947947,103.989205677587,100.2996,99.4952326299168,102.822251436473,111.130308144109,103.679932680451,105.2404038003,99.9,99.5948274573742,101.905105487089,110.908491161786,104.305767284156,104.821119323008,101.203696976393,99.7939173182718,106.893956370469,109.68641841228,103.471538090293,101.406509996386,99.6942230951766,106.362145642258,110.682561465469,103.162051934489,100.9013976,99.6942230951766,103.850473950838,111.463699068541,103.368892882409,105.871846223102,101.406509996386,99.6942230951766,105.727778968447,111.57516276761,103.058992941548,100.094700391127,100.593765164406,110.246132398336,105.039785303859,103.574906053374,100.194895286414,100.093298671051,109.371163093588,105.567623420964,103.678584638012,100.395686659733,99.8935116477554,108.718849993626,106.311806063408,103.678584638012,106.551556,29.56301
